Model	Epochs	Lambda	Numerical tests	Categorical tests	Distances 	Numerical correlations 	Categorical correlations	Average Precision	Average Recall 	Average Accuracy 	Average F1
multifairgan	50	5	0.054545455	0.038961039	0.878787879	0.336363636	0.29	0.717381818	0.714005455	0.714330909	0.711696364
multifairgan	100	0.2	0.036363636	0.025974026	0.872727273	0.390909091	0.311818182	0.725192727	0.719485455	0.719812727	0.716929091
multifairgan	100	0.4	0.054545455	0.012987013	0.866666667	0.372727273	0.3	0.732690909	0.728545455	0.728854545	0.725738182
multifairgan	100	0.6	0.048484848	0.025974026	0.872727273	0.354545455	0.317272727	0.719054545	0.71526	0.715470909	0.71292
multifairgan	100	0.8	0.048484848	0.090909091	0.878787879	0.363636364	0.276363636	0.712372727	0.706889091	0.70702	0.703283636
multifairgan	100	1	0.012121212	0.012987013	0.896969697	0.354545455	0.36	0.718089091	0.712085455	0.712405455	0.70882
multifairgan	100	1.5	0.066666667	0	0.884848485	0.345454545	0.308181818	0.733794545	0.730170909	0.730434545	0.727685455
multifairgan	100	2	0.03030303	0.038961039	0.866666667	0.4	0.326363636	0.725865455	0.722574545	0.72282	0.720609091
multifairgan	100	5	0.054545455	0.025974026	0.866666667	0.363636364	0.29	0.715056364	0.710107273	0.710229091	0.706861818
multifairgan	150	0.2	0.054545455	0.012987013	0.878787879	0.327272727	0.276363636	0.717072727	0.712994545	0.713285455	0.710676364
multifairgan	150	0.4	0.048484848	0.025974026	0.866666667	0.372727273	0.29	0.704098182	0.698678182	0.699010909	0.695989091
multifairgan	150	0.6	0.054545455	0.025974026	0.884848485	0.381818182	0.312727273	0.714270909	0.710645455	0.710918182	0.707012727
multifairgan	150	0.8	0.048484848	0.051948052	0.878787879	0.372727273	0.329090909	0.722505455	0.718689091	0.71882	0.716992727
multifairgan	150	1	0.024242424	0.038961039	0.854545455	0.363636364	0.286363636	0.727070909	0.722610909	0.722674545	0.72088
multifairgan	150	1.5	0.048484848	0.077922078	0.866666667	0.372727273	0.351818182	0.70248	0.698036364	0.698323636	0.695170909
multifairgan	150	2	0.024242424	0.038961039	0.878787879	0.345454545	0.319090909	0.727214545	0.72466	0.724858182	0.722863636
multifairgan	150	5	0.054545455	0	0.860606061	0.345454545	0.284545455	0.713729091	0.709109091	0.709289091	0.706716364
multifairgan	200	0.2	0.066666667	0.051948052	0.884848485	0.363636364	0.36	0.719163636	0.713390909	0.713632727	0.709627273
multifairgan	200	0.4	0.084848485	0.051948052	0.866666667	0.390909091	0.326363636	0.700463636	0.6959	0.696141818	0.692412727
multifairgan	200	0.6	0.048484848	0.038961039	0.866666667	0.372727273	0.280909091	0.7132	0.708749091	0.709038182	0.705698182
multifairgan	200	0.8	0.066666667	0.064935065	0.878787879	0.372727273	0.321818182	0.718398182	0.711609091	0.712061818	0.70738
multifairgan	200	1	0.03030303	0.025974026	0.872727273	0.381818182	0.263636364	0.702916364	0.698185455	0.69846	0.695030909
multifairgan	200	1.5	0.066666667	0.038961039	0.866666667	0.381818182	0.260909091	0.700052727	0.695963636	0.696247273	0.69252
